1,2,
2,19,
3,21,
4,22,
5,33,
6,34,
7,35,
8,36,
9,37,
10,38,
11,40,
12,41,
13,52,
14,53,
15,54,
16,55,
17,56,
18,57,
19,59,
20,60,
21,61,
22,62,
23,63,
24,64,
25,65,
26,66,
27,67,
28,68,
29,69,
30,70,
31,71,
32,72,
33,73,
34,74,
35,75,
36,76,
37,78,
38,79,
39,80,
40,81,
41,82,
42,83,
43,84,
44,85,
45,86,
46,87,
47,88,
48,89,
49,90,
50,91,
51,92,
52,93,
53,94,
54,95,
55,97,
56,98,
72,100,
73,101,
74,102,
75,103,
76,104,
77,105,
78,106,
79,107,
80,108,
81,109,
82,110,
83,111,
84,112,
85,113,
86,114,
87,116,
88,117,
104,119,
105,120,
106,121,
107,122,
108,123,
109,124,
110,125,
111,126,
112,127,
113,128,
114,129,
115,130,
116,131,
117,132,
118,133,
57,156,
58,157,
59,158,
60,159,
61,160,
62,161,
63,162,
64,163,
65,164,
66,165,
67,166,
68,167,
69,168,
70,169,
71,170,
89,175,
90,176,
91,177,
92,178,
93,179,
94,180,
95,181,
96,182,
97,183,
98,184,
99,185,
100,186,
101,187,
102,188,
103,189,
